## Translation glossary

English term | EN acronym | French translation | FR acronym
Legal Case Management Solution Steering Committee | LCMSC | Comité directeur de la solution pour la gestion des dossiers juridiques | CDSGSJ
Legal Case Management System (LEX) | LCMS | Solution de gestion des dossiers juridiques (LEX) | SGDJ
Legal Developments and Briefings | — | Développements et informations juridiques | —
Legal Excellence Program | LEP | Programme d’excellence en droit | PED
Legal Issues Coordination Group | — | Groupe de coordination des questions juridiques | —
Legal Practices Branch | LPB | Direction générale des pratiques juridiques | DGPJ
Legal Practices Branch | — | Direction générale de la politique des pratiques juridiques | —
Legal Practices Policy Division | — | Division de la politique des pratiques juridiques | —
Legal Practices Sector | — | Secteur des pratiques juridiques | —
Legal Project Management | LPM | Gestion de projet juridique | GPJ
Legal Risk Management | LRM | Gestion des risques juridiques | GRJ
Legal Spending Authorities Adjustment | — | Ajustement des autorités juridiques de dépenses | —
Legislative Policy and Regulatory Affairs Branch | — | Direction générale de la politique législative et des affaires réglementaires | —
Legislative Services Branch | LSB | Direction générale des services législatifs | DGSL
Lesbian, Gay, Bisexual, Transgender, Transsexual, Queer and Questioning Two-Spirit, Intersex, Asexual, Plus people | — | Les personnes deux esprits, Lesbienne, Gai, Bisexuel, Transgenre, Queer, Intersexuel, et + comprend les personnes qui indiquent leur appartenance à divers groupes sexuels et de genre et emploient d'autres terminologies | —
Letter of offer | LOO | Lettre d'offre | LO
LEX Author | — | Auteur LEX | —
LEX Document | — | Document LEX | —
LEX Excel | — | Excel LEX | —
LEX File Number | — | Numéro de dossier LEX | —
LEX Link | — | Lien de LEX | —
LEX PowerPoint | — | PowerPoint LEX | —
Lexicon | — | Lexique | —
Litigation Billing Information | LBI | Information sur les litiges de facturation | ILF
Litigation Branch | LB | Direction générale du contentieux | DGC
Litigation Practice Management Centre | LPMC | Centre de gestion de la pratique du contentieux | CGPCAC/CGPC
Litigation Readiness - Working Site | — | Site de travail pour la préparation de contentieux | —
Litigation Reporting Tool | — | Outil de rapport en litige | —
Local Area Network | LAN | Réseau local d'entreprise | RLE
Locally Engaged Staff | — | employés recrutés sur place | —
Management Accountability Framework | MAF | Cadre de responsabilisation de gestion | CRG
Management and Oversight Document | — | Document Word gestion et surveillance | —
Management and Oversight Excel | — | Document Excel gestion et surveillance | —
Management and Oversight PowerPoint | — | Document PowerPoint gestion et surveillance | —
Management Committee | MC | Comité de la gestion | CG
Management Information Session | MIS | Séance d’information pour les gestionnaires | SIG
Management Response and Action Plan | MRAP | Réponse de la direction et plan d'action | RDPA
Management Sector | MS | Secteur de la gestion | SG
Manager | — | Gestionnaire | —
Major Projects Office | — | Bureau des grands projets | —
Manion Lectures (Canada School of Public Service) | — | Conférences Manion (École de la fonction publique du Canada) | —
Mass Casualty Commission | — | Commission des pertes massives | —
Materiel Mgmt and Real Property | — | Gestion du matériel et bien immobilier | —
Meeting Document Set | — | Ensemble de documents - Rencontres | —
Meeting Documents | — | Documents des rencontres | —
Memorandum of Understanding | MOU | Protocole d'entente | PE
Memorandum to Cabinet | — | Mémoire au Cabinet | —
Mental Health Action Plan | MHAP | Plan d'action en santé mentale | PASM
Mental Health Strategic Advisory Group | — | Groupe consultatif stratégique sur la santé mentale | —
Microsoft Loop | — | Microsoft Loop | —
MigrationNote | — | Note de migration | —
Minister and Deputy Minister Bilat | — | Ministre et vice-ministre Bilat | —
Minister and Deputy Minister Meeting | — | Réunion des ministres et vice-ministres | —
Minister of Foreign Affairs | — | ministre des Affaires étrangères | —
Minister's Office | MO | Bureau du ministre | BM
Ministerial Correspondence Unit | — | Unité de la correspondance ministérielle | —
Ministerial Liaison Unit | — | Unité de liaison ministérielle | —
Ministerial Secretariat | MS | Secrétariat ministériel | SM
Missing and Murdered Indigenous Women, Girls and Two-Spirit People | — | femmes, filles et personnes 2ELGBTQI+ autochtones disparues et assassinées | —
MS Let's Talk | — | Réunion SG Parlons-nous | —
Multi-Function Device | MFD | Périphérique multifonction | PMF
Multiculturalism Champion | — | Champion du multiculturalisme | —
Multilingual translation - term store | — | Traductions multilingues - magasin de termes | —
Métis Nation of Alberta | — | Nation métisse de l'Alberta | —
Métis Nation of Ontario | — | Nation métisse de l'Ontario | —
Métis Nation of Saskatchewan | — | Nation métisse de la Saskatchewan | —
Métis National Council | — | Ralliement national des Métis | —
Nation 2 Nation Taskforce | — | Groupe de travail Nation à Nation | —
National AccessAbility Week | NAAW | Journée internationale des personnes en situation de handicap | JIPH
National Accommodations Division | NAD | Division nationale de planification des locaux | DNPL
National Capital Region | NCR | Région de la capitale nationale | RCN
National Economic Security List | — | liste de sécurité économique nationale | —
National eDiscovery and Litigation Support Services | NeDLSS | Bureau national de la preuve électronique et de soutien aux litiges | BNPESL
National Headquarters (Ottawa) | NHQ | Administration Centrale (Ottawa) | AC
National Health and Safety Policy Committee | — | Comité national des politiques de santé et sécurité | —
National Informatics Committee | NIC | Comité national de l'informatique | CNI
National Joint Council | NJC | Conseil national mixte | CNM
National Labour Management Consultative Committee | — | Comité consultatif national de la gestion du travail | —
National Legal Advisory Committee | — | Le Comité national de consultation juridique | —
National Litigation Committee | — | Comité national du contentieux | —
National Litigation Coordination Team | NLCT | Équipe nationale de coordination des litiges | ENCL
National Litigation Sector | NLS | Secteur national du contentieux | SNC
National Litigation Sector Board of Directors Meeting | — | conseil d'administration | —
National Managers' Community | — | Communauté nationale des gestionnaires | —
National Master Standing Offer | NMSO | Offre à commande principale et nationale | OCPN
National Public Service Week | NPSW | Semaine nationale de la fonction publique | SNFP
National Security and Intelligence Committee of Parliamentarians | — | Comité des parlementaires sur la sécurité nationale et le renseignement | —
National Security Group | — | Groupe sur la sécurité nationale | —
National Security Intelligence Advisor | — | conseillère à la sécurité nationale et au renseignement auprès du premier ministre | —
National Security Intelligence Review Agency | — | Office de surveillance des activités en matière de sécurité nationale et de renseignement | —
National Security Litigation and Advisory Group | NSLAG | Groupe litiges et conseils en sécurité nationale | GLCSN
NLS Board of directors | — | Conseil d'administration du secteur national du contentieux | —
NLS Board of Directors (Senior Management for NLS all regions and NCR Units) | BOD | Conseil d'administration de SNC | —
Northern Regional Office | NRO | Bureau régional des régions du Nord | BRRN
Northern Regional Office | NRO | Région du Nord | BRN
Notarial Affairs Directorate | — | Direction des affaires notariales | —
Notice of Constitutional Question | NCQ | Avis de question constitutionnelle | AQC
Nunavut Representative Public Service Plan | — | Plan de la fonction publique représentant du Nunavut | —
Observer | — | Observateur ou Observatrice | —
Occupational Health and Safety | OHS | Services de santé au travail | SST
Occupational Health and Safety | — | Santé et sécurité au travail | —
Occupational Safety and Health | — | Sécurité et santé au travail | —
Office Accommodation | — | Locaux de bureau | —
Office of the Assistant Deputy Minister and Chief Financial Officer | — | Bureau du sous-ministre adjoint(e) et dirigeant(e) principal(e) des finances | —
Office of the Auditor General | OAG | Bureau du vérificateur général | BVG
Office of the Chief Human Resources Officer | OCHRO | Bureau de la dirigeante principale des ressources humaines | BDPRH
Office of the Commissioner for Federal Judicial Affairs Canada | FJA | Commissariat à la magistrature fédérale Canada | CMF
Office of the Director General and Deputy Chief Financial Officer | — | Bureau du directeur général et directeur financier adjoint | —
Office of the Senior General Counsel | — | Bureau de l’avocat(e) général(e) principal(e) | —
Office of the special interlocutor | OSI | Bureau de l'interlocutrice spéciale | BIS
Office of the Superintendent Financial Institutions | — | Bureau du surintendant des institutions financières | —
Official Hospitality Outside Canada | OHOC | Accueil officiel à l'étranger | AOE
Official Languages Directorate | OLAD | Direction des langues officielles | DLO
Ombud and Informal Resolution Services Office (Ombuds) | — | Bureau de l’ombuds et des services de résolution informelle (Ombuds) | —
Ombuds and Informal Resolution Services Office | — | Bureau de l’ombuds et des services de résolution informelle | —
Onboarding and Orientation for New Employees | — | Intégration et orientation des nouveaux employés | —
Online Booking Tool | OBT | Outil de réservation en ligne | OREL
Ontario Regional Office | ORO | Bureau régional de l'Ontario | BRO
Ontario Regional Office | ORO | Bureau régional de l’Ontario | BRO
Open Government Advisory Group | — | Groupe consultatif sur le gouvernement ouvert | —
Open Government Partnership | OGP | Partenariat pour un Gouvernement ouvert | PGO
Operational Intelligence Review | — | Examen du renseignement opérationnel | —
Operations and Maintenance | O&M | Exploitation et maintenance | E&M
Operations Document Set | — | Ensemble de documents des opérations | —
Order in Council | OIC | Décrets | —
ORO Relocation Project | — | BRO - Projet de relocalisation | —
Other Government Department | OGD | Autre ministère gouvernemental | AMG
Paralegal Services Centre | PSC | Centre de services de parajuristes | CSP
Parliamentary Sub-Committee on Litigation Management | — | Sous-comité parlementaire sur la gestion des litiges | —
Payment Voucher (Accounting term) | PV | Bon de paiement (terme de finance) | BP
Payments at Year End | PAYE | Créditeurs à la fin de l'exercice | CAFE
People and Culture Committee | PCC | comité sur les personnes et la culture | CPC
Performance Management Agreement | PMA | Entente de gestion du rendement | EGR
Performance Management and Talent Management | PMTM | Gestion du rendement et des talents | GRGT
Performance Management Assessment | — | Entente de gestion du rendement | —
Performance Measurement and Evaluation Committee | PMEC | Comité de la mesure du rendement et de l’évaluation | CMRE
Performance Measurement Framework | — | Cadre de mesure du rendement | —
Performance Review and Employee Appraisal | PREA | Rapport d'évaluation et étude du rendement | REER
Personal Information Number | PIN | Numéro d'identification personnel | NIP
Personal Record Identifer | PRI | Code d'identification de dossier personnel | CIDP
Persons with Disabilities | — | Personnes en situation de handicap | —
Pillar leads | — | responsables de piliers | —
Policy Centre for Victim Issues | PCVI | Centre de la politiques concernant les victimes | CPV
Policy Committee | PC | Comité des politiques | CP
Policy Integration and Coordination Section | PICS | Section de l’intégration et de la coordination de la politique | SICP
Policy Priorities Committee | PPC | Comité des priorités d’orientation politique | CPOP
Policy Priorities Committee | — | Comité des priorités politiques | —
Policy Sector | PS | Secteur des politiques | SP
Policy Sector Communications Hub | — | Portail de communications du secteur des politiques | —
PPE Litigation 5 Billion Dollar Claim | PPE | Litige relatif aux EPI : réclamation de 5 milliards de dollars | EPI
Prairie Exchange | — | Échange des Prairies | —
Prairie Regional Office | PRO | Bureau régional des Prairies | BRP
Prairies Regional Office | PRO | Bureau régional des prairies | BRP
Presentation | — | Présentation | —
Presenter | — | Présentateur ou Présentatrice | —
Prime Minister's Office | PMO | Bureau du premier ministre | BPM
Priorities and Planning Division | PPD | Division des priorités et de la planification | DPP
Priority Entitlement Program | — | Programme des droits de priorité | —
Private Members' Business or Private Members' Bill | — | les affaires émanant des députés | —
Privy Council Office Legal Services Sector | PCO | Secteur des services juridiques du Bureau du Conseil privé | BCP
PRO Accommodations Project | — | BRP - Projet de déménagement | —
Process Level Controls | PLC | Contrôles au niveau des processus | CNP
Procurement Review Board | PRB | Comité consultatif pour les achats | CCA
Professional Development Division | — | Division du développement professionnel | —
Professional Practices Branch | — | Direction des pratiques professionnelles | —
Program Coordination and Operations Committee - War Crimes | — | Comité de coordination et d’opérations des programmes - Crimes de guerre | —
Programs Branch | — | Direction générale des programmes | —
Project and Procurement Review Board | PPRB | Comité consultatif pour les projets et les achats | CCPA
Public Affairs Branch | — | Branche des affaires publiques | —
Public Law & Legislative Services Sector | PLLSS | Secteur du droit public et des services législatifs | SDPSL
Public Law and Legislative Services Sector | PLLSS | Secteur du droit public et des services législatifs | SDPSL
Public Order Emergency Commission | — | Commission sur l'état d'urgence | —
Public Prosecution Service of Canada | PPSC | Services des poursuites pénales du Canada | SPPC
Public Prosecutions Service of Canada | PPSC | Service des poursuites pénales du Canada | SPPC
Public Safety, Defence and Immigration (Portfolio) | PSDI | Portefeuille de la sécurité publique, de la défense et de l'immigration | PSPDI
Public Safety, Defence and Immigration Portfolio | PSDI | Portefeuille de la Sécurité publique, de la Défense et de l’Immigration | SPDI
Public Service Alliance of Canada | PSAC | Alliance de la Fonction publique du Canada | AFPC
Public Service Employee Survey | PSES | Sondage auprès des fonctionnaires fédéraux | SAFF
Public Service Employment Regulations | — | Règlement sur l'emploi dans la fonction publique | —
Public Service Management Advisory Committee | PSMAC | Comité consultatif sur la gestion de la fonction publique | CCGFP
Public Service Performance Management | PSPM | Gestion du rendement de la fonction publique | GRFP
Public Service Performance Management Application | — | Gestion du rendement de la fonction publique | —
Public Services and Procurement Canada | PSPC | Services Publics et Approvisionnement Canada | SPAC
Public Works and Government Services Canada | PWGSC | Travaux publics et Services gouvernementaux du Canada | TPSCG
Purchase Order | PO | Bon de commande | BCP
Purchase Requisition | PR | Demande d'achat | DA
QRO Management Committee | — | Comité de Gestion BRQ | —
Quarterly Financial Report | QFR | Rapport financier trimestriel | RFT
Question Period Notes | — | notes pour la période des questions | —
Questions and Answers | Q&A | Questions et réponses | Q&R
Québec Regional Office | QRO | Bureau régional du Québec | BRQ
Receivable at Year-End | RAYE | Créditeurs à la fin de l’exercice | CAFÉ
Recognition of Indigenous Rights and Self Determination | — | Reconnaissance des droits autochtones et l'autodétermination | —
Records Information Management System | RIMS | Système de gestion des renseignements consignés | SGRC
Regional Accommodation and Integrated Security Operations | RAISO | Opérations régionales de sécurité intégrée et de planification des locaux | ORSIPL
Regional Director General | RDG | directeur général de région / directrice générale de région | DGR
Regional Director General | RDG | Directeur générale régional | DGR
Regional Director General’s Office | RDGO | Bureau du directeur général régional | BDGR
Regional Director of Business Management | RDBM | Directeur régionale de la gestion des affaires / Directrice régionale de la gestion des affaires | DRGR
Regional Director of Finance | RDF | Directeur régional des finances | DGF
Regulatory Law Directorate - QRO | — | Direction du Droit Réglementaire - BRQ | —
Regulatory Law Directorate Management Committee | — | Comité de gestion de la Direction du droit réglementaire | —
Report | — | Rapport | —
Request for Direction | — | Demande d’orientation | —
Research and Statistics Division | RSD | Division de la recherche et de la statistique | DRS
Resource and Investment Advisory Board | RIAB | Comité consultatif des ressources et de l’investissement | CCRI
Resource Management Division | RMD | Division de la gestion des ressources | DGS
Resource Planning and Management Committee | RPMC | Comité de planification et de gestion des ressources | CPGR
Responsible Building Authority | RBA | Autorité responsable de l'immeuble | ARI
Responsible Centre Manager | RCM | Gestionnaire de centre de responsabilité | GCR
Results-Based Management and Service Delivery | — | Gestion axée sur les résultats et prestation des services | —
Retention period - Disposition of information - GCDocs | — | Période de rétention - Disposition d'information - GCDocs | —
Risk Assessment | RA | Gestion du risque | GR
Roberts Bank Terminal 2 Project | — | Projet du Terminal 2 à Roberts Bank | —
Royal Canadian Mounted Police | RCMP | Gendarmerie royale du Canada | GRC
RP - Acquisition | — | Immobiliers - Acquisition | —
RP - Assessment and Planning | — | Immobiliers - Évaluation et planification | —
RP - Disposition | — | Immobiliers - Disposition | —
RP - General | — | Immobiliers - Général | —
RP - Ops Maintenance Repair | — | Immobiliers - Exploitation, entretien et utilisation | —
Russian Elites, Proxies, and Oligarchs Task Force ("REPO Taskforce") | — | Groupe de travail sur les élites, les mandataires et les oligarques russes | —
Safety, Security and Emergency Management Division | SSEMD | Division de la sûreté, de la sécurité et de la gestion des urgences | DSSGU
Safety, Security and Emergency Preparedness Division | SSEPD | Division de la sûreté, de la sécurité et de la gestion des urgences | DSSGU
Salary Forecasting Tool | SFT | Outil de prévisions salariales | OPS
Scrutiny of Regulations | — | examen de la réglementation | —
Second Language Evaluation | SLE | Évaluation de la langue seconde | ELS
Secretariat | — | Secrétariat | —
Secretariat of the Action Committee | — | Secrétariat du Comité d’action | —
Sector input | — | contributions sectorielles | —
Sector Management Committee | SMC | Comité de gestion du secteur | CGS
Security Incident Report | SIR | Rapport d'incident de sécurité | RIS
Security Requirements Checklist | SRCL | Liste de vérification des exigences relatives à la sécurité | LVERS
Security Training and Awareness | — | Formation et sensibilisation en matière de sécurité | —
Senior Assistant Deputy Minister | SADM | Sous-ministre adjoint principal | SMAP
Senior Assistant Deputy Minister Office | — | Bureau du sous-ministre adjoint principal | —
Senior Associate Deputy Ministers Office Administrators | — | Administrateurs principaux du bureau des sous-ministres délégués | —
Senior Departmental Managers | SDM | Cadre supérieur du ministère | CSM
Senior Management Board | SMB | Conseil de gestion des services | CGS
Senior Officials Committee responsible for human rights | — | Comité des hauts fonctionnaires responsable des droits de la personne | —
Service Desk Team | — | Équipe du Centre de Services | —
Service Level Commitments | SLC | Engagements de niveau de service | ENS
Service, Innovation and Integration Branch | — | Direction générale du service, de l'innovation et de l'intégration | —
Sexual orientation or gender identity or expression | SOGIE | Orientations sexuelles, identités de genre et expressions de genre | OSIGEG
Shared Services Canada | SSC | Services Partagés Canada | SPC
Shared Travel Services | STS | Services de voyage partagés | SVP
Special Economic Measures Act | — | Loi sur les mesures économiques spéciales | —
Special interlocutor | SI | Interlocutrice spécial | IS
Special Joint Committee on the Declaration of Emergency | — | Comité mixte spécial sur la déclaration de situation de crise | —
Specialized Legislative Services Section | — | Section des services législatifs spécialisés | —
Specimen Signature Card | SCC | Carte de spécimen de signature | CSS
SRB Class Action | SRB | Prestation de retraite supplémentaire recours collectif | —
St-Andrew's Tour 275 Sparks Street | SAT | Tour St-Andrew's | TSA
Staffing | — | Dotation | —
Stakeholder | — | Intervenants | —
Standard Operational Procedure | SOP | Procédure opératoire normalisée | PON
Standard Payment System | SPS | Système normalisé de paiement | SNP
Standing Joint Committee | — | Comité mixte permanent | —
Standing Offer Agreement | SOA | Convention d'offre à commandes | COG
Statement of Merit Criteria | SoMC | Énoncé des critères de mérite | ECM
Statement of work | SOW | Énoncé de travail | EDT
Steering Committee | — | Comité directeur | —
Strategic Emergency Management Committee | SEMC | Comité stratégique sur la gestion des urgences | CSGU
Strategic Emergency Management Plan | SEMP | Plan stratégique de gestion des urgences | PSGU
Strategic Environmental and Economic Assessment | SEEA | Évaluation environnementale et économique stratégique | EEES
Strategic Environmental Assessment | SEA | Évaluation environnementale Stratégique | EES
Strategic Litigation Coordination Unit | SLCU | Unité de coordination stratégique des litiges | UCSL
Strategic Operations Division | SOD | Division des opérations stratégiques | DOS
Strategic Recruitment and Career Development | SRCD | Recrutement stratégique et développement de carrière | RSDC
Sub Committee Litigation Management [Committee] (Cabinet Committee) | SCLM | Sous-comité Gestion des litiges [Comité] (Comité du Cabinet) | —
Subcommittee on Litigation Management | — | Sous-comité sur la gestion des litiges | —
Supreme Court of Canada | SCC | Cour suprême du Canada | CSC
Supreme Court of Canada Building | — | Édifice de la Cour suprême du Canada | —
Sustainable Development | SD | Développement durable | DD
Sustainable Development Goals | SDG | Objectifs de développement durable | ODD
Sustainable Development Secretariat | SDS | Secrétariat du développement durable | SDD
Sustainable Development Steering Committee | SDSC | Comité directeur du développement durable | CDDD
Talent Management | — | Gestion des talents | —
Talking Points | TP | point de discussion | PD
Talking Points | — | Points de discussion | —
Tangible Capital Asset | TCA | Immobilisation corporelle | IC
Tax Court of Canada | — | Cour canadienne de l'impôt | —
Tax Law Directorate – QRO | — | Direction du litige fiscal – BRQ | —
Tax Law Services - Atlantic Regional Office | PSD | Portefeuille des services du droit fiscal (PSD)-BRA | BRA
Tax Law Services Portfolio | TLS | Portefeuille des services du droit fiscal | PSDF
Technical Officer Committee | TOC | Comité d'agent technique | CAT
Technology Services Division | TSD | Division des services techniques | DST
Telecommunications Act | — | Loi sur les télécommunications | —
Terms of Reference (ToRs) | — | Mandat | —
Threat Risk Assessment | TRA | Évaluation de la menace et des risques | EMR
Threat Risk Assessment Program and Standard | — | Programme et cadre d'évaluation des menaces et des risques | —
Trackable Asset | TA | Actif traçable | AT
Trade Law Bureau | — | Direction générale du droit commercial | —
Transport Canada Regulations Section | — | Section de la réglementation - Transports Canada | —
Transportation and Infrastructure Legal Services | — | Services juridiques de Transports et Infrastructure | —
Travel Authorization Number | TAN | Numéro d'autorisation de voyage | NAV
Travel Expense Reports | TER | Rapports de dépenses de voyage | RDV
Travel Identification Number | TIN | Numéro d'identification du voyageur | NIV
Travel, Hospitality and Conference | THC | Voyages, accueil et conférences | VAC
Travel, Hospitality, Conference and Event Expenditures | THCEE | Dépenses de voyages, d'accueil, de conférences et d'événements | DVACE
Travel, Relocation and Acquisition Card Unit | TRAC | Unité des voyages, réinstallations et carte d'achat | VRAC
Treasury Board Secretariat | TBS | Secrétariat du Conseil du Trésor | SCT
Treasury Board Submission | — | Présentations au Conseil du Trésor | —
Truth and Reconciliation Commission of Canada | — | Commission de vérité et réconciliation du Canada | —
UAV / Drones Legal Issues Working Group | UAV | Groupe de travail sur les questions juridiques des UAV/drones | UAV
United Nations | UN | Nations unies | NU
United Nations Commission on International Trade Law | — | Commission des Nations Unies pour le droit commercial international | —
United Nations Declaration Act Implementation Secretariat | — | Secrétariat de la mise en œuvre de la Déclaration des Nations Unies | —
United Nations Declaration on the Rights of Indigenous Peoples Act | — | Déclaration des Nations Unies sur les Droits des peuples autochtones | —
Universal Classification System | USC | Norme générale de classification | NGC
Values and ethics | — | Valeurs et éthique | —
Versioning | — | Versionnement | —
Vice-chair | — | Vice-Président ou Vice-Présidente | —
Video Observation Posts | — | Postes d’observation vidéo | —
Wellness Committee | — | Comité Mieux-être | —
Wellness Program | — | Programme du mieux-être | —
Work description | WD | Description de tâches | DT
Working Group | — | Groupe de travail | —
Workload Improvement Network | — | Réseau d'amélioration de la charge de travail | —
Workplace Branch | — | Direction générale du milieu de travail | —
Workplace Health and Safety Committee | — | Comité Santé et Sécurité au travail | —
Yellow Docket - Indicates MCU has assigned a task of responding to incoming correspondence. | — | dossier jaune | —
Youth Justice Fund | — | Fonds du système de justice pour les jeunes | —
Youth Justice Services Funding Program | YJSFP | Programme de financement des services de justice pour les jeunes | PFSJJ
Yukon Representative Public Service Plan | — | Plan de la fonction publique représentative du Yukon | —
